,방송일시,노출(분),상품명,상품군,판매단가,취급액
0,2019-01-01 6:00,20.0,테이트 남성 셀린니트3종,의류,39900 ,2099000.0
1,2019-01-01 6:00,20.0,테이트 여성 셀린니트3종,의류,39900 ,4371000.0
2,2019-01-01 6:20,20.0,테이트 남성 셀린니트3종,의류,39900 ,3262000.0
3,2019-01-01 6:20,20.0,테이트 여성 셀린니트3종,의류,39900 ,6955000.0
4,2019-01-01 6:40,20.0,테이트 남성 셀린니트3종,의류,39900 ,6672000.0
5,2019-01-01 6:40,20.0,테이트 여성 셀린니트3종,의류,39900 ,9337000.0
6,2019-01-01 7:00,20.0,오모떼 레이스 파운데이션 브라,속옷,59000 ,6819000.0
7,2019-01-01 7:20,20.0,오모떼 레이스 파운데이션 브라,속옷,59000 ,15689000.0
8,2019-01-01 7:40,20.0,오모떼 레이스 파운데이션 브라,속옷,59000 ,25370000.0
9,2019-01-01 8:00,20.0,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900 ,16133000.0
10,2019-01-01 8:20,20.0,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900 ,30061000.0
11,2019-01-01 8:40,20.0,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900 ,53542000.0
12,2019-01-01 9:00,20.0,보코 리버시블 무스탕,의류,79000 ,16075000.0
13,2019-01-01 9:20,20.0,보코 리버시블 무스탕,의류,79000 ,25628000.0
14,2019-01-01 9:40,20.0,보코 리버시블 무스탕,의류,79000 ,49270000.0
15,2019-01-01 10:00,20.0,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900 ,48799000.0
16,2019-01-01 10:20,20.0,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900 ,97907000.0
17,2019-01-01 10:40,20.0,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900 ,112972000.0
18,2019-01-01 11:00,20.0,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900 ,24531000.0
19,2019-01-01 11:20,20.0,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900 ,49829000.0
