,Unnamed: 0,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량
0,0,2019-01-01 6:00,20.0,테이트 남성 셀린니트3종,의류,39900,2099000.0,53
1,1,2019-01-01 6:00,20.0,테이트 여성 셀린니트3종,의류,39900,4371000.0,110
2,2,2019-01-01 6:20,20.0,테이트 남성 셀린니트3종,의류,39900,3262000.0,82
3,3,2019-01-01 6:20,20.0,테이트 여성 셀린니트3종,의류,39900,6955000.0,175
4,4,2019-01-01 6:40,20.0,테이트 남성 셀린니트3종,의류,39900,6672000.0,168
5,5,2019-01-01 6:40,20.0,테이트 여성 셀린니트3종,의류,39900,9337000.0,235
6,6,2019-01-01 7:00,20.0,오모떼 레이스 파운데이션 브라,속옷,59000,6819000.0,116
7,7,2019-01-01 7:20,20.0,오모떼 레이스 파운데이션 브라,속옷,59000,15689000.0,266
8,8,2019-01-01 7:40,20.0,오모떼 레이스 파운데이션 브라,속옷,59000,25370000.0,430
9,9,2019-01-01 8:00,20.0,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,16133000.0,270
10,10,2019-01-01 8:20,20.0,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,30061000.0,502
11,11,2019-01-01 8:40,20.0,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,53542000.0,894
12,12,2019-01-01 9:00,20.0,보코 리버시블 무스탕,의류,79000,16075000.0,204
13,13,2019-01-01 9:20,20.0,보코 리버시블 무스탕,의류,79000,25628000.0,325
14,14,2019-01-01 9:40,20.0,보코 리버시블 무스탕,의류,79000,49270000.0,624
15,15,2019-01-01 10:00,20.0,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,48799000.0,611
16,16,2019-01-01 10:20,20.0,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,97907000.0,1226
17,17,2019-01-01 10:40,20.0,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,112972000.0,1414
18,18,2019-01-01 11:00,20.0,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,24531000.0,351
19,19,2019-01-01 11:20,20.0,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,49829000.0,713
20,20,2019-01-01 12:00,20.0,에코라믹 통주물 스톤 냄비세트,주방,60900,33823000.0,556
21,21,2019-01-01 12:20,20.0,에코라믹 통주물 스톤 냄비세트,주방,60900,59083000.0,971
22,22,2019-01-01 12:40,20.0,에코라믹 통주물 스톤 냄비세트,주방,60900,99235000.0,1630
23,23,2019-01-01 13:00,30.0,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,32273000.0,297
24,24,2019-01-01 13:30,30.0,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,79273000.0,728
25,25,2019-01-01 14:00,30.0,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,11269000.0,95
26,26,2019-01-01 14:00,30.0,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,20841000.0,176
27,27,2019-01-01 14:30,30.0,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,40526000.0,341
28,28,2019-01-01 14:30,30.0,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,47294000.0,398
29,29,2019-01-01 15:00,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,14113000.0,232
30,30,2019-01-01 15:20,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,32395000.0,532
31,31,2019-01-01 15:40,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,39669000.0,652
32,32,2019-01-01 16:00,20.0,국내산 손질갑오징어 8팩,농수축,49900,60787000.0,1219
33,33,2019-01-01 16:20,20.0,국내산 손질갑오징어 8팩,농수축,49900,115457000.0,2314
34,34,2019-01-01 16:40,20.0,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,83893000.0,1376
35,35,2019-01-01 17:00,20.0,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,42239000.0,1062
36,36,2019-01-01 17:20,20.0,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,73494000.0,1847
37,37,2019-01-01 17:40,20.0,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,107103000.0,2692
38,38,2019-01-01 18:00,20.0,우리바다 손질왕꼬막 24팩,농수축,39900,59050000.0,1480
39,39,2019-01-01 18:20,20.0,우리바다 손질왕꼬막 24팩,농수축,39900,85937000.0,2154
40,40,2019-01-01 18:40,20.0,우리바다 손질왕꼬막 24팩,농수축,39900,101468000.0,2544
41,41,2019-01-01 19:00,20.0,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,36620000.0,308
42,42,2019-01-01 19:20,20.0,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,69349000.0,583
43,43,2019-01-01 19:40,20.0,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,84610000.0,712
44,44,2019-01-01 20:00,20.0,일시불 LG 통돌이 세탁기,가전,439000,35519000.0,81
45,45,2019-01-01 20:00,20.0,무이자 LG 통돌이 세탁기,가전,489000,19123000.0,40
46,46,2019-01-01 20:20,20.0,일시불 LG 통돌이 세탁기,가전,439000,56859000.0,130
47,47,2019-01-01 20:20,20.0,무이자 LG 통돌이 세탁기,가전,489000,58685000.0,121
48,48,2019-01-01 20:40,20.0,일시불 LG 통돌이 세탁기,가전,439000,68320000.0,156
49,49,2019-01-01 20:40,20.0,무이자 LG 통돌이 세탁기,가전,489000,46068000.0,95
50,50,2019-01-01 21:00,20.0,마리노블 밍크 롱코트,의류,499000,16362000.0,33
51,51,2019-01-01 21:20,20.0,마리노블 밍크 롱코트,의류,499000,53791000.0,108
52,52,2019-01-01 21:40,20.0,마리노블 밍크 롱코트,의류,499000,84562000.0,170
53,53,2019-01-01 22:00,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,38067000.0,128
54,54,2019-01-01 22:30,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,77764000.0,261
55,55,2019-01-01 23:00,20.0,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,23075000.0,257
56,56,2019-01-01 23:20,20.0,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,39452000.0,439
57,57,2019-01-01 23:40,20.0,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,60010000.0,668
58,58,2019-01-02 0:00,20.0,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,6082000.0,88
59,59,2019-01-02 0:00,20.0,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,6445000.0,93
60,60,2019-01-02 0:20,20.0,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,11985000.0,172
61,61,2019-01-02 0:20,20.0,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,8491000.0,122
62,62,2019-01-02 0:40,20.0,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,16461000.0,236
63,63,2019-01-02 0:40,20.0,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,10641000.0,153
64,64,2019-01-02 1:00,20.0,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,9647000.0,139
65,65,2019-01-02 1:20,20.0,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,15516000.0,222
66,66,2019-01-02 1:40,17.0,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,18695000.0,268
67,67,2019-01-02 6:00,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,9605000.0,323
68,68,2019-01-02 6:20,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,11265000.0,379
69,69,2019-01-02 6:40,20.0,벨라홈 논슬립 옷걸이 세트,생활용품,29800,14371000.0,483
70,70,2019-01-02 7:00,20.0,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,14944000.0,217
71,71,2019-01-02 7:20,20.0,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,25881000.0,376
72,72,2019-01-02 7:40,20.0,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,30126000.0,437
73,73,2019-01-02 8:00,20.0,오모떼 레이스 파운데이션 브라,속옷,59000,11314000.0,192
74,74,2019-01-02 8:20,20.0,오모떼 레이스 파운데이션 브라,속옷,59000,21397000.0,363
75,75,2019-01-02 8:40,20.0,오모떼 레이스 파운데이션 브라,속옷,59000,34822000.0,591
76,76,2019-01-02 9:00,20.0,NNF 쿠션퍼자켓+베스트,의류,39900,12607000.0,316
77,77,2019-01-02 9:20,20.0,NNF 쿠션퍼자켓+베스트,의류,39900,23042000.0,578
78,78,2019-01-02 9:40,20.0,NNF 쿠션퍼자켓+베스트,의류,39900,38449000.0,964
79,79,2019-01-02 10:00,20.0,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,7239000.0,46
80,80,2019-01-02 10:00,20.0,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,8951000.0,54
81,81,2019-01-02 10:00,20.0,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,2118000.0,15
82,82,2019-01-02 10:00,20.0,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,2262000.0,15
83,83,2019-01-02 10:20,20.0,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,27223000.0,173
84,84,2019-01-02 10:20,20.0,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,13074000.0,78
85,85,2019-01-02 10:20,20.0,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,9408000.0,64
86,86,2019-01-02 10:20,20.0,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,4507000.0,29
87,87,2019-01-02 10:40,20.0,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,44478000.0,282
88,88,2019-01-02 10:40,20.0,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,18925000.0,113
89,89,2019-01-02 10:40,20.0,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,13024000.0,88
90,90,2019-01-02 10:40,20.0,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,3368000.0,22
91,91,2019-01-02 11:00,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,29763000.0,100
92,92,2019-01-02 11:30,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,66392000.0,223
93,93,2019-01-02 12:00,20.0,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,10107000.0,43
94,94,2019-01-02 12:00,20.0,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,2270000.0,10
95,95,2019-01-02 12:00,20.0,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,1469000.0,7
96,96,2019-01-02 12:00,20.0,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,2757000.0,14
97,97,2019-01-02 12:20,20.0,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,17801000.0,75
98,98,2019-01-02 12:20,20.0,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,17732000.0,78
99,99,2019-01-02 12:20,20.0,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,10627000.0,49
100,100,2019-01-02 12:20,20.0,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,4731000.0,23
101,101,2019-01-02 12:40,20.0,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,25462000.0,107
102,102,2019-01-02 12:40,20.0,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,21428000.0,94
103,103,2019-01-02 12:40,20.0,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,6384000.0,30
104,104,2019-01-02 12:40,20.0,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,4095000.0,20
105,105,2019-01-02 13:00,20.0,하늘내린 용대리황태10미,농수축,32900,29599000.0,900
106,106,2019-01-02 13:20,20.0,하늘내린 용대리황태10미,농수축,32900,40882000.0,1243
107,107,2019-01-02 13:40,20.0,하늘내린 용대리황태10미,농수축,32900,42466000.0,1291
108,108,2019-01-02 14:00,30.0,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,28456000.0,262
109,109,2019-01-02 14:30,30.0,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,56800000.0,522
110,110,2019-01-02 15:00,20.0,안동간고등어 20팩,농수축,30900,41722000.0,1351
111,111,2019-01-02 15:20,20.0,안동간고등어 20팩,농수축,30900,43167000.0,1397
112,112,2019-01-02 15:40,20.0,안동간고등어 20팩,농수축,30900,70322000.0,2276
113,113,2019-01-02 16:00,20.0,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,11931000.0,387
114,114,2019-01-02 16:00,20.0,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,6694000.0,217
115,115,2019-01-02 16:20,20.0,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,16983000.0,550
