,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가,단위가격,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
8929,2019-03-31 23:00,20,무이자 LG 울트라HD TV 65UK6800HNC,1,1930000,14753000,8,Sunday,Yes,No,12,0,2,0,2.3,9.2,5.4,0.2,31,104.49,23:00:00,138,1,0,1,6
28811,2019-10-03 16:40,20,피시원 국내산 절단 햇 꽃게 2.4kg,3,49900,63757000,1278,Thursday,No,Yes,5,1,2,2,18.7,26.3,22,28.9,20,105.46,16:40:00,100,104,1,0,3
31846,2019-11-03 21:00,20,일시불 LG 통돌이 세탁기,1,439000,48104000,110,Sunday,Yes,No,12,1,2,1,9.4,20.5,13.8,1.5,42,104.87,21:00:00,126,10,0,1,6
34334,2019-11-30 16:00,20,(1등급)221L_딤채김치냉장고(LDL22DHWJJ),1,899000,44709000,50,Saturday,Yes,No,12,1,2,2,-1.5,12.7,5.4,0.1,27,104.87,16:00:00,96,9,0,1,5
11555,2019-04-23 15:40,20,실크트리 풍기인견 데일리 쿨 이지탑 패키지,5,44000,58410000,1328,Tuesday,No,No,4,0,2,2,12.1,21.8,16.8,5.6,40,104.87,15:40:00,94,0,0,0,1
19755,2019-07-08 23:30,30,무이자 LG 휘센 씽큐 에어컨 스탠드형FQ19V9KWA1,1,2139000,0,0,Monday,No,No,12,1,2,0,18.9,27.3,22.6,0.5,15,104.56,23:30:00,141,7,0,0,0
3524,2019-02-07 10:40,20,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),9,158000,28970000,184,Thursday,No,No,11,1,2,1,-3.9,7.4,2.1,0.5,44,104.69,10:40:00,64,4,0,0,3
31724,2019-11-02 12:40,20,푸마 드라이셀 치마레깅스 3종,5,59000,33331000,565,Saturday,Yes,No,6,1,2,2,7.7,19.9,13.5,0,55,104.87,12:40:00,76,70,0,1,5
31347,2019-10-29 9:40,20,칼리베이직 2019 패브릭 백 4종 (시즌 3),8,59000,48051000,815,Tuesday,No,No,6,1,2,2,8,18.8,13.2,0.7,65,105.46,9:40:00,58,0,0,0,1
26655,2019-09-13 13:40,20,헤스티지 그레이스 양가죽 코트,6,199000,81014000,408,Friday,No,Yes,11,1,2,2,17.1,27.4,21.7,0,14,105.2,13:40:00,82,67,1,0,4
42,2019-01-01 19:20,20,푸마 에어핏 서포트 브라세트 15종+4종,5,119000,69349000,583,Tuesday,No,Yes,10,1,2,2,-5.8,2.1,-2.1,0.1,26,104.24,19:20:00,116,85,1,0,1
13272,2019-05-08 15:00,10,에버라스트 드로즈 10+4종,5,39900,10474000,263,Wednesday,No,No,3,1,2,2,7.2,22.9,15.7,0,38,105.05,15:00:00,90,6,0,0,2
31702,2019-11-02 6:40,20,안국루테인 미니100(5박스),2,59000,25035000,425,Saturday,Yes,No,6,1,2,2,7.7,19.9,13.5,0,55,104.87,6:40:00,40,77,0,1,5
31312,2019-10-28 23:20,20,한빛 페르시안스타일 셔닐 카페트 대형,10,69000,4640000,68,Monday,No,No,8,1,2,2,4.5,18.5,11.5,0.3,33,105.46,23:20:00,140,111,0,0,0
18278,2019-06-24 0:20,20,무이자 썸덱스 트로이카 여행가방 10종세트,8,159000,2290000,15,Monday,No,No,11,1,2,0,17.2,28.4,22.5,0.1,18,104.88,0:20:00,2,91,0,0,0
6018,2019-03-03 21:00,20,보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,0,648000,1808000,3,Sunday,Yes,No,12,1,2,2,2.4,14.8,8.7,0,70,104.49,21:00:00,126,5,0,1,6
22364,2019-08-01 22:40,20,(무)[보루네오] 피올레 천연소가죽 소파 4인용,0,949000,33688000,36,Thursday,No,No,12,1,2,2,24.6,33.1,28.4,3.4,15,104.81,22:40:00,136,8,0,0,3
17063,2019-06-11 22:00,20,(무)[보루네오] 피올레 천연소가죽 소파 6인용,0,1249000,0,0,Tuesday,No,No,12,1,2,2,14.8,23.8,18.8,0.3,15,104.88,22:00:00,132,8,0,0,1
15636,2019-05-29 8:20,20,보코 메쉬 아이스 풀코디,6,59000,16913000,287,Wednesday,No,No,6,1,2,2,11.1,27.4,19.7,0,33,105.05,8:20:00,50,0,0,0,2
1777,2019-01-20 9:00,20,무이자[가이거] 제니스시계 주얼리세트,8,139000,6006000,44,Sunday,Yes,No,10,1,2,0,-2.8,5.5,1.6,0.1,40,104.24,9:00:00,54,0,0,1,6
25312,2019-08-31 1:40,20,도스문도스 카이만 엠보 소가죽 핸드백 1종(역시즌),8,79000,22540000,286,Saturday,Yes,No,9,1,2,2,17.6,28.5,22.6,0,16,104.81,1:40:00,10,73,0,1,5
8840,2019-03-31 12:20,20,헤스티지 그레이스 양가죽 코트,6,199000,27455000,138,Sunday,Yes,No,11,1,2,2,2.3,9.2,5.4,0.2,31,104.49,12:20:00,74,67,0,1,6
19749,2019-07-08 23:30,30,무이자 LG 휘센 씽큐 에어컨 2IN1형 FQ17V9KWA2,1,2299000,0,0,Monday,No,No,12,1,2,0,18.9,27.3,22.6,0.5,15,104.56,23:30:00,141,7,0,0,0
10702,2019-04-15 22:20,20,무이자 LG 울트라HD TV 70UK7400KNA,1,2790000,13835000,5,Monday,No,No,12,0,2,0,2.3,19.6,11.1,0,46,104.87,22:20:00,134,1,0,0,0
26832,2019-09-15 6:40,20,NNF SS트레이닝 세트(8월),6,29000,41454000,1430,Sunday,Yes,No,1,1,2,2,19.7,28.8,23.4,0.4,16,105.2,6:40:00,40,0,0,1,6
18575,2019-06-27 13:40,20,벨레즈온 브라캡 심리스 원피스 패키지,5,39900,38685000,970,Thursday,No,No,3,1,2,2,20.6,28.8,23.8,12,20,104.88,13:40:00,82,101,0,0,3
15432,2019-05-26 22:20,20,무이자 대우전자 벽걸이 에어컨 TDOZ-S10JK,1,849000,3537000,5,Sunday,Yes,No,12,1,2,0,16.4,30.1,23.2,0.1,35,105.05,22:20:00,134,7,0,1,6
7909,2019-03-22 6:40,20,무이자 아이넥스 프리미엄 올스텐 싱크선반,9,94800,9030000,96,Friday,No,No,9,1,2,0,1.6,10.5,5.2,0,35,104.49,6:40:00,40,0,0,0,4
