,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가,단위가격,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
35323,2019-12-09 22:20,20,(일)장수흙침대 퀸,0,1320000,0,0,Monday,No,No,12,0,2,2,-3.6,10.1,3,0.1,43,105.12,22:20:00,134,3,0,0,0
4370,2019-02-15 21:40,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1900000,29198000,16,Friday,No,No,12,0,2,1,-1.5,6,2,0.4,33,104.69,21:40:00,130,1,0,0,4
12033,2019-04-27 17:40,20,국내산 손질갑오징어 8팩,3,49900,91421000,1833,Saturday,Yes,No,5,1,2,2,4.9,17.8,11.4,0.1,15,104.87,17:40:00,106,98,0,1,5
8009,2019-03-23 8:20,20,테이트 여성 SS 트렌치재킷,6,69900,30432000,436,Saturday,Yes,No,8,1,1,2,-0.3,10.3,4.2,1.4,24,104.49,8:20:00,50,0,0,1,5
12423,2019-05-01 18:20,20,파뷔에 항균도마 1+1세트,9,49800,38861000,781,Wednesday,No,No,5,1,2,2,10.1,22.1,15.4,0,48,105.05,18:20:00,110,72,0,0,2
780,2019-01-09 19:20,20,일시불 LG 통돌이 세탁기,1,439000,17076000,39,Wednesday,No,No,12,1,2,1,-8,2.9,-2.9,0,34,104.24,19:20:00,116,10,0,0,2
14454,2019-05-18 7:40,20,헤비추얼 여성 썸머 쿨라이프 데님 3종,6,59000,43065000,730,Saturday,Yes,No,6,1,1,2,16.4,21.8,18.8,21.3,22,105.05,7:40:00,46,0,0,1,5
12800,2019-05-04 21:20,20,일시불 대우전자 벽걸이 에어컨TDOZ-S10JK,1,809000,5002000,7,Saturday,Yes,No,12,1,2,1,8.8,26.5,17.6,0,54,105.05,21:20:00,128,7,0,1,5
9700,2019-04-07 9:40,20,일시불 삼성 UHD TV UN75NU7050F,1,2700000,16360000,7,Sunday,Yes,No,12,0,2,1,7.4,18.4,12.5,2.8,43,104.87,9:40:00,58,1,0,1,6
30616,2019-10-21 8:20,20,1+1보국미니히터(화이트+화이트 )BKH-1083P+BKH-1083P,4,98000,3605000,37,Monday,No,No,10,1,2,2,9.5,23,15.3,0,28,105.46,8:20:00,50,0,0,0,0
21925,2019-07-28 12:00,20,비버리힐스폴로클럽 남성기초세트(플라센타아이크림+선크림),7,39800,33092000,832,Sunday,Yes,No,3,1,2,2,25,29.9,26.9,10.9,17,104.56,12:00:00,72,87,0,1,6
3530,2019-02-07 12:00,30,아이넥스 프리미엄 올스텐 싱크선반,9,89800,24468000,273,Thursday,No,No,9,1,2,2,-3.9,7.4,2.1,0.5,44,104.69,12:00:00,72,0,0,0,3
9629,2019-04-06 21:20,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2500000,0,0,Saturday,Yes,No,12,0,2,1,3.4,19,11.6,0.6,56,104.87,21:20:00,128,1,0,1,5
14912,2019-05-22 7:40,20,보코 메쉬 아이스 풀코디,6,59000,45245000,767,Wednesday,No,No,6,1,2,2,10.3,27.3,19.2,0,44,105.05,7:40:00,46,0,0,0,2
21771,2019-07-26 22:00,30,일시불 2019년 타이거 충전식 무선 예초기,4,122000,8672000,72,Friday,No,No,10,0,2,1,24.7,29.2,26.5,19,19,104.56,22:00:00,132,80,0,0,4
4075,2019-02-12 23:40,20,(일) 삼익가구 LED 제니비 서랍형 침대 K,0,599000,13837000,24,Tuesday,No,No,12,1,2,2,-6,6,0.1,0,45,104.69,23:40:00,142,3,0,0,1
34151,2019-11-28 18:00,20,강원도양구 간편시래기15팩,3,30900,47512000,1538,Thursday,No,No,1,1,2,2,0.3,10.4,4.7,3.1,25,104.87,18:00:00,108,0,0,0,3
37203,2019-12-30 0:00,20,일시불 선일금고 이볼브 시리즈 EV-020,4,400000,1369000,4,Monday,No,No,12,0,2,1,0.1,9.8,5,0.9,24,105.12,0:00:00,0,0,0,0,0
24278,2019-08-19 21:20,20,무이자 LG 울트라HD TV 75UK7400KNA,1,3190000,7520000,3,Monday,No,No,12,0,2,0,20,30.8,25.1,0.4,25,104.81,21:20:00,128,1,0,0,0
37277,2019-12-31 1:00,20,올바로 문어발 샤워기 1+1,4,54900,18686000,341,Tuesday,No,No,5,1,2,2,-6.7,0.4,-3.8,0.1,19,105.12,1:00:00,6,0,0,0,1
26445,2019-09-11 11:30,10,[페플럼제이] 19Fall' 시그니처 밴딩팬츠 4종,6,69000,11309000,164,Wednesday,No,No,8,1,2,2,21.5,27.8,23.9,7.4,19,105.2,11:30:00,69,86,0,0,2
34903,2019-12-06 6:40,20,NNF 여성 패딩점퍼,6,49000,11202000,229,Friday,No,No,5,1,1,2,-7.7,2.3,-3.2,0,26,105.12,6:40:00,40,44,0,0,4
27391,2019-09-20 1:20,20,국내제작 김병지 고밀도  풀확장 코일카매트,4,64800,15619000,242,Friday,No,No,7,1,2,2,15,23.7,19.3,0,20,105.2,1:20:00,8,0,0,0,4
19379,2019-07-05 11:00,20,보몽드 샐비어 시어서커 리플 침구세트 K,10,69900,11418000,164,Friday,No,No,8,1,2,2,19.1,32,25.1,0,29,104.56,11:00:00,66,11,0,0,4
34787,2019-12-04 22:20,20,일시불 LG트롬 건조기 16kg RH16WN(화이트),1,1900000,0,0,Wednesday,No,No,12,0,2,1,-0.3,9.5,4.2,0.1,25,105.12,22:20:00,134,0,0,0,2
21901,2019-07-28 6:40,20,보몽드 샐비어 시어서커 리플 침구세트 K,10,69900,12874000,185,Sunday,Yes,No,8,1,2,2,25,29.9,26.9,10.9,17,104.56,6:40:00,40,11,0,1,6
13644,2019-05-11 15:20,20,영광 生 모시떡 100개!!(동부기피70개+검정깨30개),3,30900,50731000,1642,Saturday,Yes,No,1,1,2,2,10.2,27.3,18.5,0,40,105.05,15:20:00,92,38,0,1,5
24887,2019-08-25 23:00,20,일시불 LG 통돌이 세탁기,1,439000,33004000,76,Sunday,Yes,No,12,1,2,1,18.9,28.7,23.2,1.2,19,104.81,23:00:00,138,10,0,1,6
18519,2019-06-26 20:40,20,헤드 파이로라이트 트렁크 8종 패키지,5,69000,11830000,172,Wednesday,No,No,8,1,2,2,18,24.4,21.1,33.1,25,104.88,20:40:00,124,19,0,0,2
20419,2019-07-14 23:00,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1690000,57156000,34,Sunday,Yes,No,12,0,2,1,20.2,29.1,23.9,2.1,27,104.56,23:00:00,138,1,0,1,6
25322,2019-08-31 9:00,30,루이띠에 순금 샤이닝 러브 목걸이 35g+골드바 1g,8,3650000,5809000,2,Saturday,Yes,No,12,0,2,2,17.6,28.5,22.6,0,16,104.81,9:00:00,54,49,0,1,5
7640,2019-03-19 18:40,20,푸마 심리스 드로즈 블랙에디션 패키지,5,89000,26818000,302,Tuesday,No,No,9,1,2,2,2.2,19,10.7,0,40,104.49,18:40:00,112,6,0,0,1
22281,2019-08-01 9:00,20,마리노블 밍크 롱코트(역시즌),6,299000,29280000,98,Thursday,No,No,12,1,2,2,24.6,33.1,28.4,3.4,15,104.81,9:00:00,54,67,0,0,3
14895,2019-05-21 22:40,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2500000,5818000,3,Tuesday,No,No,12,0,2,1,9,24.2,17,0,38,105.05,22:40:00,136,1,0,0,1
10473,2019-04-13 23:40,20,일시불 선일금고 이볼브 시리즈 EV-020,4,400000,5527000,14,Saturday,Yes,No,12,0,2,1,4,18.9,11.6,0,33,104.87,23:40:00,142,0,0,1,5
17264,2019-06-13 22:40,20,보루네오 루나 유로탑 멀티수납형 LED 침대 Q 퀸,0,598000,23537000,40,Thursday,No,No,12,1,2,2,14.7,28,21.2,0,23,104.88,22:40:00,136,5,0,0,3
28474,2019-09-30 19:00,20,리복 델타 피트니스 트렁크 8종,5,89000,2135000,24,Monday,No,No,9,1,2,2,16.4,28.2,21.6,0.1,35,105.2,19:00:00,114,19,0,0,0
13104,2019-05-07 6:10,10,에버라스트 드로즈 10+4종,5,39900,10096000,254,Tuesday,No,No,3,1,2,2,5.2,21.8,13.9,0,37,105.05,6:10:00,37,6,0,0,1
1800,2019-01-20 12:40,20,무이자 삼성 블루스카이 공기청정기 AX40N3080DMD 1세트,1,339000,9096000,27,Sunday,Yes,No,12,1,2,0,-2.8,5.5,1.6,0.1,40,104.24,12:40:00,76,115,0,1,6
26773,2019-09-14 17:40,20,현대어찬 손질갈치,3,36900,40560000,1100,Saturday,Yes,Yes,3,1,2,2,17.4,27.5,22.3,0.1,15,105.2,17:40:00,106,83,1,1,5
